RK,TIER,PLAYER NAME,POS,TEAM,BYE,ADP,PROJ
1,,Jahmyr Gibbs,RB,DET,,,
2,,Bijan Robinson,RB,ATL,,,
3,,Ja'Marr Chase,WR,CIN,,,
4,,Josh Allen,QB,BUF,,,
5,,Jonathan Taylor,RB,IND,,,
6,,Puka Nacua,WR,LAR,,,
7,,Christian McCaffrey,RB,SF,,,
8,,James Cook,RB,BUF,,,
9,,Jaxon Smith-Njigba,WR,SEA,,,
10,,Derrick Henry,RB,BAL,,,
11,,Drake Maye,QB,NE,,,
12,,Amon-Ra St. Brown,WR,DET,,,
13,,De'Von Achane,RB,MIA,,,
14,,CeeDee Lamb,WR,DAL,,,
15,,Saquon Barkley,RB,PHI,,,
16,,Lamar Jackson,QB,BAL,,,
17,,Justin Jefferson,WR,MIN,,,
18,,Omarion Hampton,RB,LAC,,,
19,,Ashton Jeanty,RB,LV,,,
20,,Kyren Williams,RB,LAR,,,
21,,Joe Burrow,QB,CIN,,,
22,,Jeremiyah Love,RB,ARI,,,
23,,Drake London,WR,ATL,,,
24,,Kenneth Walker,RB,KC,,,
25,,Chase Brown,RB,CIN,,,
26,,Jayden Daniels,QB,WAS,,,
27,,A.J. Brown,WR,NE,,,
28,,Caleb Williams,QB,CHI,,,
29,,Josh Jacobs,RB,GB,,,
30,,Brock Bowers,TE,LV,,,
31,,Trey McBride,TE,ARI,,,
32,,Nico Collins,WR,HOU,,,
33,,George Pickens,WR,DAL,,,
34,,Breece Hall,RB,NYJ,,,
35,,Malik Nabers,WR,NYG,,,
36,,Justin Herbert,QB,LAC,,,
37,,Jalen Hurts,QB,PHI,,,
38,,Rashee Rice,WR,KC,,,
39,,Chris Olave,WR,NO,,,
40,,Javonte Williams,RB,DAL,,,
41,,Bucky Irving,RB,TB,,,
42,,Tee Higgins,WR,CIN,,,
43,,Travis Etienne,RB,NO,,,
44,,DeVonta Smith,WR,PHI,,,
45,,Tetairoa McMillan,WR,CAR,,,
46,,Jaxson Dart,QB,NYG,,,
47,,Colston Loveland,TE,CHI,,,
48,,Cam Skattebo,RB,NYG,,,
49,,Patrick Mahomes,QB,KC,,,
50,,Trevor Lawrence,QB,JAX,,,
51,,Garrett Wilson,WR,NYJ,,,
52,,Ladd McConkey,WR,LAC,,,
53,,TreVeyon Henderson,RB,NE,,,
54,,Emeka Egbuka,WR,TB,,,
55,,Luther Burden,WR,CHI,,,
56,,Zay Flowers,WR,BAL,,,
57,,Bo Nix,QB,DEN,,,
58,,Dak Prescott,QB,DAL,,,
59,,Jaylen Waddle,WR,DEN,,,
